id;processo;assunto;subarea;classe;juiz;vara;foro;digital;apensado_ao;controle;outros_assuntos;processo_principal;situacao;valor_da_acao;data_recebimento;tipo_recebimento;recurso
573695;00141891920188260562;Estabelecimentos de Ensino;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;4ª Vara Cível;Foro de Santos;TRUE;NA;2013/001242;NA;4005759-83.2013.8.26.0562;NA;NA;2018-07-11;NA;NA
331657;00076545320188260278;DIREITO DO CONSUMIDOR;DIREITO DO CONSUMIDOR;Reclamação Pré-processual;NA;CEJUSC (Pré-Processual);Foro de Itaquaquecetuba;TRUE;NA;2018/001240;NA;0007654-53.2018.8.26.0278;Extinto;28000;2018-06-26;Direcionada;NA
337107;00044655820188260281;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;1ª Vara Cível;Foro de Itatiba;TRUE;NA;2017/000602;NA;1001209-27.2017.8.26.0281;NA;NA;2018-08-01;NA;NA
201087;00307353820188260114;Práticas Abusivas;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;1ª Vara Cível;Foro de Campinas;TRUE;NA;2017/003324;NA;1061463-79.2017.8.26.0114;NA;NA;2018-08-24;NA;NA
64621;00026974620188260007;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Renata Longo Vilalba Serrano Nunes;Unidade Avançada de Atend. Judic. das M.E. e E.P.P;Foro Central Juizados Especiais Cíveis;TRUE;NA;2018/001155;NA;0002697-46.2018.8.26.0007;Extinto;954;2018-05-11;Direcionada;NA
510772;00152384420188260482;Planos de Saúde;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;1ª Vara Cível;Foro de Presidente Prudente;TRUE;NA;2004/000517;NA;0003397-43.2004.8.26.0482;NA;NA;2018-08-21;NA;NA
576100;00055700320188260562;Práticas Abusivas;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;2ª Vara Cível;Foro de Santos;TRUE;NA;2017/000654;NA;1015851-35.2017.8.26.0562;NA;NA;2018-03-20;NA;NA
676155;00014571420188260624;Contratos de Consumo;DIREITO DO CONSUMIDOR;Reclamação Pré-processual;Marcelo Nalesso Salmaso;CEJUSC (Pré-Processual);Foro de Tatuí;TRUE;NA;2018/000187;NA;0001457-14.2018.8.26.0624;Extinto;NA;2018-02-22;Direcionada;NA
248566;00047745120188260161;Inclusão Indevida em Cadastro de Inadimplentes;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Luiz Fernando Parreira Milena;Vara do Juizado Especial Cível;Foro de Diadema;TRUE;NA;2018/001047;NA;0004774-51.2018.8.26.0161;NA;689.01;2018-04-04;Livre;NA
586143;00004472120188260563;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Fábio Franco de Camargo;Juizado Especial Cível e Criminal;Foro de São Bento do Sapucaí;TRUE;NA;2018/000251;NA;0000447-21.2018.8.26.0563;NA;15000;2018-09-14;Livre;NA
209479;00376760420188260114;Fornecimento de Água;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;8ª Vara Cível;Foro de Campinas;TRUE;NA;2016/000794;NA;1015332-80.2016.8.26.0114;NA;NA;2018-07-04;NA;NA
1716;00075432720188260001;DIREITO DO CONSUMIDOR;DIREITO DO CONSUMIDOR;Reclamação Pré-processual;Jorge Alberto Quadros de Carvalho Silva;CEJUSC (Pré-Processual);Foro Regional I - Santana;TRUE;NA;2018/000714;NA;0007543-27.2018.8.26.0001;Extinto;NA;2018-03-26;Direcionada;NA
